	goAcc	Pathway	N	DE	P.DE	gotermType
753	GO:0005694	chromosome	10	10	3.26E-05	cellular_component
739	GO:0005634	nucleus	372	168	6.65E-05	cellular_component
89	GO:0003700	transcription factor activity	153	77	0.000119246	molecular_function
872	GO:0006355	"regulation of transcription, DNA-dependent"	189	91	0.000234223	biological_process
83	GO:0003677	DNA binding	224	104	0.000482045	molecular_function
852	GO:0006270	DNA replication initiation	7	7	0.000725455	biological_process
1332	GO:0015205	nucleobase transmembrane transporter activity	9	8	0.001588357	molecular_function
1354	GO:0015931	"nucleobase, nucleoside, nucleotide and nucleic acid transport"	9	8	0.001588357	biological_process
5	GO:0000030	mannosyltransferase activity	26	17	0.001902093	molecular_function
847	GO:0006259	DNA metabolic process	11	9	0.002339228	biological_process
717	GO:0005338	nucleotide-sugar transmembrane transporter activity	5	5	0.00572883	molecular_function
1348	GO:0015780	nucleotide-sugar transport	5	5	0.00572883	biological_process
702	GO:0005089	Rho guanyl-nucleotide exchange factor activity	12	9	0.006391306	molecular_function
1868	GO:0035023	regulation of Rho protein signal transduction	12	9	0.006391306	biological_process
2	GO:0000009	"alpha-1,6-mannosyltransferase activity"	22	14	0.006859066	molecular_function
4	GO:0000026	"alpha-1,2-mannosyltransferase activity"	22	14	0.006859066	molecular_function
6	GO:0000033	"alpha-1,3-mannosyltransferase activity"	22	14	0.006859066	molecular_function
81	GO:0001962	"alpha-1,3-galactosyltransferase activity"	22	14	0.006859066	molecular_function
192	GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity	22	14	0.006859066	molecular_function
398	GO:0004376	glycolipid mannosyltransferase activity	22	14	0.006859066	molecular_function
500	GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	22	14	0.006859066	molecular_function
1123	GO:0008375	acetylglucosaminyltransferase activity	22	14	0.006859066	molecular_function
1124	GO:0008376	acetylgalactosaminyltransferase activity	22	14	0.006859066	molecular_function
1135	GO:0008417	fucosyltransferase activity	22	14	0.006859066	molecular_function
1206	GO:0008755	O antigen polymerase activity	22	14	0.006859066	molecular_function
1237	GO:0008921	"lipopolysaccharide-1,6-galactosyltransferase activity"	22	14	0.006859066	molecular_function
1390	GO:0016253	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	22	14	0.006859066	molecular_function
