	goAcc	Pathway	N	DE	P.DE	gotermType
1065	GO:0008152	metabolic process	346	168	6.55E-21	biological_process
1444	GO:0016491	oxidoreductase activity	240	112	8.30E-13	molecular_function
105	GO:0003824	catalytic activity	296	123	8.80E-10	molecular_function
1464	GO:0016627	"oxidoreductase activity, acting on the CH-CH group of donors"	16	14	3.61E-07	molecular_function
801	GO:0005975	carbohydrate metabolic process	78	38	9.15E-06	biological_process
203	GO:0003995	acyl-CoA dehydrogenase activity	13	11	1.42E-05	molecular_function
768	GO:0005777	peroxisome	7	7	7.26E-05	cellular_component
830	GO:0006118	electron transport	149	59	0.000115753	biological_process
769	GO:0005778	peroxisomal membrane	6	6	0.000283696	cellular_component
1026	GO:0007154	cell communication	14	10	0.000424506	biological_process
1869	GO:0035091	phosphoinositide binding	14	10	0.000424506	molecular_function
388	GO:0004364	glutathione transferase activity	12	9	0.000478562	molecular_function
1788	GO:0030246	carbohydrate binding	10	8	0.000499798	molecular_function
958	GO:0006631	fatty acid metabolic process	5	5	0.001107731	biological_process
1020	GO:0007031	peroxisome organization and biogenesis	5	5	0.001107731	biological_process
1344	GO:0015645	fatty-acid ligase activity	7	6	0.001550091	molecular_function
104	GO:0003779	actin binding	14	9	0.002597618	molecular_function
1091	GO:0008237	metallopeptidase activity	10	7	0.004089826	molecular_function
444	GO:0004460	L-lactate dehydrogenase (cytochrome) activity	4	4	0.004323741	molecular_function
1196	GO:0008670	"2,4-dienoyl-CoA reductase (NADPH) activity"	4	4	0.004323741	molecular_function
1518	GO:0016846	carbon-sulfur lyase activity	4	4	0.004323741	molecular_function
1566	GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity	4	4	0.004323741	molecular_function
527	GO:0004620	phospholipase activity	6	5	0.005227908	molecular_function
1783	GO:0030170	pyridoxal phosphate binding	46	20	0.006338209	molecular_function
2117	GO:0050660	FAD binding	56	23	0.008185293	molecular_function
1500	GO:0016787	hydrolase activity	121	43	0.009699262	molecular_function
1767	GO:0020037	heme binding	48	20	0.011026139	molecular_function
980	GO:0006808	regulation of nitrogen utilization	14	8	0.012071672	biological_process
1451	GO:0016564	transcription repressor activity	14	8	0.012071672	molecular_function
1493	GO:0016769	"transferase activity, transferring nitrogenous groups"	17	9	0.014645519	molecular_function
205	GO:0003997	acyl-CoA oxidase activity	3	3	0.016870537	molecular_function
794	GO:0005952	cAMP-dependent protein kinase complex	3	3	0.016870537	cellular_component
803	GO:0005978	glycogen biosynthetic process	3	3	0.016870537	biological_process
831	GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	3	3	0.016870537	biological_process
960	GO:0006635	fatty acid beta-oxidation	3	3	0.016870537	biological_process
1269	GO:0009098	leucine biosynthetic process	3	3	0.016870537	biological_process
1448	GO:0016559	peroxisome fission	3	3	0.016870537	biological_process
1792	GO:0030266	quinate 5-dehydrogenase activity	3	3	0.016870537	molecular_function
1812	GO:0030833	regulation of actin filament polymerization	3	3	0.016870537	biological_process
