"Rhoto.Ac.1"	"Rhoto.Ac.2"	"Rhoto.Ac.3"	"Rhoto.Glc.1"	"Rhoto.Glc.2"	"Rhoto.Glc.3"	"Rhoto.So.1"	"Rhoto.So.2"	"Rhoto.So.3"	"Rhoto.Xyl.1"	"Rhoto.Xyl.2"	"Rhoto.Xyl.3"	"Rhoto.YP.1"	"Rhoto.YP.2"	"Rhoto.YP.3"
"mRNA_1"	160	186	170	373	363	273	270	357	387	302	372	290	323	264	244
"mRNA_2"	294	296	512	1215	1096	1071	426	386	632	468	576	635	580	589	389
"mRNA_3"	497	464	501	598	582	530	516	606	859	656	635	594	497	559	255
"mRNA_4"	118558	76597	120530	4365	4329	3034	108745	84099	80616	44658	47287	53061	65378	61653	58486
"mRNA_5"	511	431	466	477	537	401	597	636	1038	790	887	791	461	445	277
"mRNA_6"	1959	1971	2424	4672	3265	3383	3202	3199	4392	2272	2751	2512	3370	2855	2697
"mRNA_7"	608	504	796	1023	1106	865	829	997	1368	768	877	814	1089	1001	825
"mRNA_8"	200	248	278	166	137	126	4021	2906	4826	1147	1123	1508	1362	1662	2484
"mRNA_9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mRNA_10"	0	0	0	0	0	0	3	0	6	3	1	3	9	6	6
"mRNA_11"	5	5	5	16	16	19	14	14	11	16	14	21	14	10	12
"mRNA_12"	168	120	223	235	352	251	242	437	359	623	665	456	563	519	211
"mRNA_13"	804	896	1143	1651	1737	1415	643	751	977	822	1159	1118	1225	1335	928
"mRNA_14"	347	404	576	802	929	717	598	635	1164	640	877	897	777	827	650
"mRNA_15"	46	62	93	1178	1638	1781	146	282	418	514	605	591	666	1055	47
"mRNA_16"	183	245	334	760	838	841	305	362	785	531	523	693	258	315	174
"mRNA_17"	5460	4359	5502	7582	8157	6471	3445	4765	5204	4381	5293	5031	2903	3656	1546
"mRNA_18"	53	68	47	14	20	7	41	102	99	42	36	36	64	70	32
"mRNA_19"	68	101	90	52	46	45	114	118	189	77	94	82	150	137	126
"mRNA_20"	386	594	614	1348	1050	1084	815	699	1342	578	619	572	1183	1089	985
"mRNA_21"	20	27	33	38	67	51	18	26	70	154	122	155	24	30	45
"mRNA_22"	1231	1155	1591	743	914	571	2672	2349	3136	1477	1655	1476	4893	3469	5747
"mRNA_23"	49616	43716	41907	47551	43958	35592	21982	30911	27324	29252	32733	25919	26150	22525	10676
"mRNA_24"	1	0	0	2	1	1	0	1	2	0	0	0	1	0	1
"mRNA_25"	18	20	37	96	84	59	51	67	166	61	57	62	30	37	18
"mRNA_26"	1929	1925	1926	1940	1587	1354	2130	2045	2480	1353	1642	1595	2134	1885	1664
"mRNA_27"	4456	4471	5154	12633	11239	11228	1689	2298	2362	3969	5396	5556	2498	3213	1094
"mRNA_28"	42	55	43	9	5	2	27	30	26	25	36	18	45	49	10
"mRNA_29"	127	87	113	427	225	306	319	385	684	40	41	41	296	261	358
"mRNA_30"	318	353	350	1398	900	1069	559	709	1191	355	389	310	530	417	270
"mRNA_31"	1336	1236	1268	2232	2179	1696	1969	2316	2195	1483	1767	1392	3307	2691	1547
"mRNA_32"	557	453	505	493	447	391	652	717	710	434	464	401	833	530	647
"mRNA_33"	739	566	793	1099	1022	809	877	890	1136	751	1006	859	761	739	583
"mRNA_34"	335	355	493	991	972	928	498	527	809	523	661	615	504	538	433
